	ItemLink	Price	Name	Image	Condition	Seller Notes	Brand	Storage Capacity	Model	RAM	MPN	Processor	UPC	Internet Connectivity	Type	Hardware Connectivity	Operating System	Features	Screen Size	Carrier	Resolution	Bundled Items	Processor Manufacturer	Processor Type	Display Tech	Touch Screen Technology	Rear Camera Resolution	Front Camera Resolution	Installed RAM	Expansion Ports	PC Interface	Height	Product Line	Width	Depth	Color	Weight	Product Information	Battery Technology	Battery Run Time	Input Method	Display Size	Platform	Release Date	Supported File Types	Special Features	Exterior Color	Contract	Colour	Bundle Listing	Country/Region of Manufacture	Expandability	Rear Camera Megapixels	Front Camera Megapixels	Screen Resolution	Functional Digitizer	Memory Size	Manufacturer Part Number	Manufacturer	Processor Speed	Fast Fulfillment	Wireless capabilities	Audio Input	Audio Output	EAN	Interface	Max. Video Resolution	Data Link Protocol	Networking Type	Body Material	Content	Battery Information	Battery Life (Hour)	Dimensions (WxHxD)	Display Color	Product Interface	Screen Type	Support Type	Display Color Support	Manufacturer warranty	Memory (RAM)	Display Max. Resolution	Cosmetic condition	No accessories	Operating System Edition	Storage Type	Graphics Processing Type	Touch panel	Other Software	Hard Drive Capacity	Manufacturer Part number	Band	OS	RAM 3GB	Screen resolution	Battery Capacity(mAh)	Screen size	CPU Qualcomm	Screen type	Dual cameras	GPU Adreno 506	WiFi,GPS,Bluetooth 4.0	Languages	Country//Region of Manufacture	CPU	Multi-touch	Continuous Usage Time	Battery Standby	Video Resolution	Delivery Time	Tags	Size	Max Supported RAM	Charger and cable	ISBN	RAM 4GB	Core	CPU Brand	Single camera	GPU	Mini HDMI,DC Jack	WiFi,Bluetooth	Note	Headphones	Camera type	Network type	Support Network	RAM Technology	Bottoms Size (Women's)	Bottoms Size (Men's)	Size (Women's)	US Shoe Size (Men's)	Underwear Size	Cup Size	Band Size	Trouser Size	Size (Men's)	Style	Hosiery Size	Screen Material	ROM	External Memory	Storage Controller Type	Plug Type	Voltage	ScreenSize	Designer/Brand	Monitor Screen Size	Manufacturer Warranty	Warranty - Parts	Warranty - Labor	Dilivery Time	Security Features	Processor Number	OS System	RAM 2GB	Battery Capacity	CPU RK3288	IPS	Hard Drive	Wireless Type	Size Type	Number of USB 2.0 Ports	Average Battery Life (in hours)	Original box	File format	Connectivity	Power	USB charging time	Language	Display	Warranty	Thread	Lithography	Instruction set	Memory types	Product positioning	Flash description	Processor series	Shell material	Processor Base Frequency	Burst Frequency	SD Card Slot	Slot SIm	Battery	Standard Memory	SKU	Flash Memory Capacity	Graphics Controller Model	Product Type	Bluetooth	Processor Model	Aspect Ratio	Weight (Approximate)	Processor Core	Focus Modes	Form Factor	Sensor Type	Publisher	Charger	Memory	Brand Name	Age Group	Optical Drive Type	Memory Card Supported	Wireless LAN	Wireless LAN Standard	Front Camera/Webcam	Operating System Platform	Digital storage capacity	Offer type	Hard Disk Memory	Battery Type	Graphics Chipset	WIFI	Touchscreen	Display Screen Technology	USB	Contract Type	Maximum Memory Card Size Supported	Built-in Memory	Built-in Flash	Graphic Processor	Rear Camera	Number of Cells	Product Series	GPU memory	Power management chip	Process	Weight Unit Of Measure	Dimensions Unit Of Measure	Internet	Wireless	Dimensions	3G	Screen	Camera	G-sensor	GPS	Storage	Marca	HardwarePlatform	OperatingSystem	Binding	ProductGroup	Supported Formats	Expandabel Storage	Manufactured Country	PID	Number of Cores	Cellular Radio System Type	WAREHOUSE LOCATION	TIME LISTED	RAM Installed Size	Max Resolution	Pointing Device	Installed Cache Memory	Installed Video Memory	Compatible Product Line	Material	Gender	ShippingWeight	Compatible Model	Compatible Brand	Extension Card	Processor Type/CPU Type	camera	Games	Long Battery Run Time	Wireless Connection	Bluetooth,IPS,WiFi	Country of Manufacture	Support Extend Card	WiFi,Bluetooth,	Product ID	3G / 4G Support	Camera Resolution	Capacity	Model Number	Category	Language Supported	RAM+ROM	Li-ion polymer battery	Memory Capacity	Operating system	Cell Capacity	Display Resolution	System	Item Condition	Tablet Data Capacity	label	Cellular Band	Memory Card Type	Lock Status	Gravity Sensing System	CPU Brand Intel	Card slot	Item Weight	Product Dimensions	Item Dimensions  L x W x H	Item model number	Network	4G Network	Google Play	Back camera	Front camera	Material of back cover	Item Type	Teclast Model	Touch Screen Type	Net Weight	Network Communiction	Display resolution	Second Webcam Pixels	Extend Port	Supporting Language	Feature	Other Model	External Storage	Panel Type	Front Camera	Onda Model	GSM Mode	Shell Material	Size/Weight	Processor Manufacture	Package	black	Support	Modem Type	Analog Modulation Protocol	Bus Speed	KINDLE Model	Marque	Couleur	Numéro de pièce fabricant	Système d'exploitation	CUP	Résolution	Opérateur	Abonnement	Capacité de stockage	Audio Format	Photo Viewer	Video Format	WiFi	CPU Frequency	Flash	Wireless Card	Signal	QUALITY TABLET	Charge Mode	Working Time	Charge Time	Plug	Camera Features	Audio Features	Resolution (pixels)	RESERVED_PRODUCT_TITLE
163	http://www.ebay.com/itm/Apple-iPad-Pro-128GB-Wi-Fi-Cellular-Unlocked-9-7in-Space-Gray/162703140283?epid=238643531&hash=item25e1dce5bb%3Ag%3AUIsAAOSwkzhZ2Rwa	$325.00	New ListingApple iPad Pro 128GB, Wi-Fi + Cellular (Unlocked), 9.7in - Space Gray	https://i.ebayimg.com/images/g/UIsAAOSwkzhZ2Rwa/s-l400.jpg	Used	Like New, Perfect Condition	Apple	128GB	Wi-Fi + Cellular	2GB	MLQ32LL/A	Dual Core	0888462832847	Wi-Fi + Cellular	Tablet	Micro-USB, Wi-Fi	iOS		"9.7"""	Unlocked	2048 x 1536		Apple	Apple A9X	LED-backlit Multi-Touch with IPS	Multi-Touch	12 Megapixel	5 Megapixel	2 ChannelGB	Bluetooth	Micro-USB, Wi-Fi	0.39in (1cm)	iPad Pro	9in (24cm)	7in (17cm)		1lb. (0.45kg)	The Apple iPad Pro Tablet sports a 9.7-inch retina display with a resolution of 2048x1536 pixels and True Tone display. Powered by the A9X chip, and M9 motion coprocessor, it provides high speed and efficiency. This Wi-Fi + 4G model has a storage capacity	Rechargeable Lithium-Polymer	UP to 9hr.	Camera, Touch-Screen	9.7in (24.64cm)	Mac, PC	3/21/2016	.ics, DOC, DOCX, GIF, HTM, HTML, JPG, Numbers, PDF, PPT, PPTX, Pages, RTF, TIFF, TXT, VCF, XLS, XLSX, ZIP	Antireflective coating, Built-In Front Camera, Fingerprint Sensor, HD Compatible, Retina Display, Touch Screen	Space Gray																																																																																																																																																																																																																																																																																																																								
164	http://www.ebay.com/itm/GPD-Win-5-5-GamePad-PC-Game-Console-Windows-10-Intel-Quad-Core-1-6GHz-4GB-64GB/252778907635?hash=item3adacc07f3%3Ag%3ATlQAAOSwstJZUGJT	$311.82	GPD Win 5.5'' GamePad PC Game Console Windows 10 Intel Quad Core 1.6GHz 4GB+64GB	https://i.ebayimg.com/images/g/TlQAAOSwstJZUGJT/s-l400.jpg	New		GPD	64GB		4GB	Does Not Apply		Does not apply		Game Tablet		Windows 10		5.5in.																	Black																																																									Windows 10		1280 x 720		5.5 inch		Capacitive (5-Point),IPS																																										64GB	TF card up to 128GB (not included)																																																																																																																																																																																																																									
165	http://www.ebay.com/itm/KOBO-AURA-H2O-Waterproof-eReader-Wi-Fi-4-GB-6-8-Black-100-Genuine-from-Japan/292283667404?epid=691156506&hash=item440d76d3cc%3Ag%3AuQEAAOSwyltZVJ-c	$146.51	KOBO AURA H2O Waterproof eReader Wi-Fi 4 GB 6.8” Black 100% Genuine from Japan	https://i.ebayimg.com/images/g/uQEAAOSwyltZVJ-c/s-l400.jpg	New		Kobo	4GB			N250-KJ-BK-S-EP		4560470084925	Wi-Fi	eBook Reader	Micro-USB		Touch Screen	6.8in.		1430 x 1080												Aura			Black																								1.00GHz																																																																																																																																																																																																																																																																																																											
166	http://www.ebay.com/itm/SAMSUNG-GALAXY-TAB-A-SM-T355Y-16GB-Wi-Fi-4G-TABLET-WHITE/302477188817?hash=item466d0b9ed1%3Ag%3A6DAAAOSwL5BZw26w	$118.36	SAMSUNG GALAXY TAB A SM-T355Y 16GB, Wi-Fi 4G TABLET WHITE	https://i.ebayimg.com/images/g/6DAAAOSwL5BZw26w/s-l400.jpg	Used	EXCELLENT CONDITION	Samsung	16GB	SM-T355Y	2GB	SM-T355Y	Quad Core	Does not apply	Wi-Fi + 4G	Tablet	Bluetooth, Micro-USB	Android 1.5 Cupcake	Built-In Front Camera, Built-In Rear Camera, Colour Screen	8in.														TAB A															Without Contract	White											1.20GHz																																																																																																																																																																																																																																																																																																											
167	http://www.ebay.com/itm/7-Google-Android-4-4-KitKat-Quad-Core-Tablet-PC-8GB-Dual-Camera-Wifi-Bluetooth/391729501703?hash=item5b34e5d607%3Am%3Am6sday-brFkn5zoGPgs5Vwg&var=	$41.99 to $49.99	"7"" Google Android 4.4 KitKat Quad Core Tablet PC 8GB Dual Camera Wifi Bluetooth"	https://i.ebayimg.com/images/g/6KEAAOSwax5Yyf4R/s-l400.jpg	New		Unbranded	8GB		512MB	Does Not Apply	Quad Core		Wi-Fi	Tablet	Bluetooth	Android 4.4.X Kit Kat	Built-In Front Camera, Built-In Rear Camera, Color Screen	7in.	Unlocked	800 X 480			Dual Core						Bluetooth	Wi-Fi										Camera		PC			Bluetooth					United States									1.50GHz		Bluetooth				Camera			Bluetooth																																																																																																																																																																																																																																																																																																		
168	http://www.ebay.com/itm/Onda-V80-SE-8-0-Tablet-PC-Android-5-1-Allwinner-A64-Quad-Core-2GB-32GB-OTG/292281354449?hash=item440d5388d1%3Ag%3A-tIAAOSws0hZ1e5c	$30.05	Onda V80 SE 8.0'' Tablet PC Android 5.1 Allwinner A64 Quad Core 2GB 32GB OTG	https://i.ebayimg.com/images/g/-tIAAOSws0hZ1e5c/s-l400.jpg	New																																																																																																																																																																																																																																																																																																																																																																		
169	http://www.ebay.com/itm/Acer-Iconia-Model-No-A500-10S16u-16GB-Wi-Fi-10-Screen/192325078165?hash=item2cc777cc95%3Ag%3AELsAAOSwrbZZ1ARf	$24.95	"Acer Iconia Model No. A500-10S16u 16GB Wi-Fi 10"" Screen"	https://i.ebayimg.com/images/g/ELsAAOSwrbZZ1ARf/s-l400.jpg	Used		Acer	16GB			Does Not Apply		Does not apply	Wi-Fi	Tablet				10in.	Not Applicable											Wi-Fi																																																																																																																																																																																																																																																																																																																																								
170	http://www.ebay.com/itm/Fire-HD-10-5th-generation-32GB-Wi-Fi-10-1in-Black-32GB-free-shipping/332389189299?epid=221178085&hash=item4d63f086b3%3Ag%3A3DQAAOSwC11Zxnfl	$199.00	Fire HD 10 (5th generation) 32GB, Wi-Fi, 10.1in - Black 32GB free shipping	https://i.ebayimg.com/images/g/3DQAAOSwC11Zxnfl/s-l400.jpg	New		Amazon	32GB	HD 10 (5th generation)	1GB	53-003761	Quad Core	0848719069419	Wi-Fi	Tablet	Micro-USB, Wi-Fi	Fire OS		10.1in.	Not Applicable	1280 x 800		ARM				5 Megapixel		1GB		Micro-USB, Wi-Fi		Fire			Black	0.95lb. (0.43kg)	The Amazon Fire HD 10 5th Generation Tablet features a 10.1-inch LCD capacitive touchscreen with the IPS technology that delivers flawless visuals. Its 5 MP camera with LED flash and the autofocus feature lets you take clear pictures. Additionally, it features Bluetooth, microUSB and Wi-Fi compatibility for convenient connectivity. With a 1 GB RAM and 32 GB internal memory, this smartphone allows for efficient multitasking. Moreover, this black Amazon device runs on Android giving you a user-friendly experience.		UP to 8hr.		10.1in (25.65cm)					Black					microSD								1.5GHz																																																																																																																																																																																																																																																																																																											
171	http://www.ebay.com/itm/Kindle-6-Glare-Free-Touch-Display-Ereader-Wi-Fi-with-Special-Offers/162694992331?epid=219548330&hash=item25e16091cb%3Ag%3Ab%7EYAAOSwddhZ0rZk	$69.95	"Kindle, 6"" Glare-Free Touch Display Ereader Wi-Fi - with Special Offers"	https://i.ebayimg.com/images/g/b~YAAOSwddhZ0rZk/s-l400.jpg	New		Amazon	4GB	(7th Generation)		B00I15SB16		0848719039726	Wi-Fi	eBook Reader	Micro-USB, Wi-Fi	Linux		6in.	Not Applicable											Micro-USB, Wi-Fi	6.7in (17.02cm)		4.7in (11.94cm)	0.4in (1.02cm)		0.41lb. (0.18kg)	The Amazon Kindle is a useful device running on Linux platform. The eBook Reader is equipped with 4 GB memory storage. It also features a convenient 6-inch display that provides clear visuals. This Amazon eBook Reader supports Wi-Fi connectivity and lets its users wirelessly surf the Web, check e-mails, or stream videos. Its weight is 0.41 lbs. The product is available in black.								Touch Screen	Black											B00KDRPW76	Amazon						0848719039726																																																																																																																																																																																																																																																																																																						
172	http://www.ebay.com/itm/Onda-OBook-20-Plus-10-1-Tablet-PC-Win10-Android-5-1-Z8300-4GB-64GB-WiFi-IPS-OTG/282456893945?hash=item41c3be29f9%3Ag%3AyqIAAOSwtplZzmcV	$158.66	"Onda OBook 20 Plus 10.1"" Tablet PC Win10+Android 5.1 Z8300 4GB+64GB WiFi IPS OTG"	https://i.ebayimg.com/images/g/yqIAAOSwtplZzmcV/s-l400.jpg	New		Onda	64GB		4GB	Does Not Apply	Quad Core	Does not apply	Wi-Fi	Tablet	Bluetooth, HDMI, Wi-Fi	Windows 10 and Android 5.1	Backlight, Bluetooth, Built-In Front Camera, Built-In Rear Camera, Color Screen, Email, FM Radio, HD Compatible, LCD Display, MP3 Player, Touch Screen, Video Recorder	10in.	Unlocked	1920 x 1200																											Without Contract												1.44GHz																																																																																																																																																																																																																																																																																																											
173	http://www.ebay.com/itm/GSM-UNLOCKED-BLACK-AT-T-9-7-INCH-APPLE-iPad-2-64GB-WI-FI-CELLULAR-A1396/352177255943?epid=103128076&hash=item51ff667607%3Ag%3Aq7QAAOSw%7E05Z0mlV	$76.00	GSM UNLOCKED BLACK AT&T 9.7 INCH APPLE iPad 2 64GB WI-FI + CELLULAR A1396	https://i.ebayimg.com/images/g/q7QAAOSw~05Z0mlV/s-l400.jpg	Used	Fully tested and 100% functional. Casing of the iPad will have two corners with a dent and has minor scratches on the back. The screen of the iPad is in good shape. This item is free of major imperfections and has a clear IMEI and is ready to activate with any GSM carrier or use on Wi-Fi. Fully tested and guaranteed to function like new.	Apple	64GB	Wi-Fi + 3G	512MB	MC775LL/A	Dual Core	0885909457632	Wi-Fi + 3G	Tablet	Micro-USB, Wi-Fi	iOS		9.7in.	AT&T	1024 x 768		Apple	Apple A5	LED	Multi-Touch	0.7 Megapixel	0.3 Megapixel	512MB	VGA out	Micro-USB, Wi-Fi	0.34in (0.88cm)	iPad 2	9.5in (24.12cm)	7.31in (18.57cm)	Black	1.35lb. (0.613kg)	Things come alive on the stunning 9.7-inch widescreen LED Multi-Touch display of the Apple iPad 2. With WiFi and 3G support, this 64GB Apple iPad ensures you stay connected to your world all the time. The built-in dual-core A5 chip in this Wi-Fi + 3G iPad facilitates high-end gaming, surfing and overall performance. Gaming is at a vivid high with up to nine times the graphics performance on this 64GB Apple iPad. Capture immaculate shots in HD with the 0.7 MP front camera of this Wi-Fi iPad, while the secondary 0.3 MP VGA Camera lets you enjoy FaceTime video calling. For an enhanced movie-watching experience, play all your iPad’s digital content wirelessly on HDTV and speakers using AirPlay. Weighing a mere 1.35 lbs, with an amazing 10-hour battery life, Bluetooth 2.1 + EDR technology and more, this Apple iPad 2 is here to become another extension of you.	Rechargeable Lithium-Polymer	UP to 10hr.	Camera, Touch-Screen	9.7in (24.64cm)	Mac, PC	3/11/2011	AAC, AAC-LC, AAX, AAX Plus (AAX+), AIFF, AVI, Apple Lossless, Audible Enhanced Audio, Audible Format 2, Audible Format 3, Audible Format 4, DOC, DOCX, GIF, H.264, HE-AAC, HTM, HTML, JPG, Key, M4V, MOV, MP3, MP3 VBR, MP4, MPEG-4, Numbers, PDF, PPT, PPTX, Pages, Protected AAC, RTF, TIFF, TXT, VCF, WAV, XLS, XLSX	Backlight, Bluetooth, Built-In Front Camera, Built-In Rear Camera, Touch Screen, Web Browser	Black															Bluetooth, Built-in Wireless, WLAN 802.11a, WLAN 802.11b, WLAN 802.11g, WLAN 802.11n	Microphone	Sound card, Speaker(s)					Bluetooth, Integrated Wireless LAN																																																																										EIDE																																																																																																																																																																																																																								
174	http://www.ebay.com/itm/Samsung-Galaxy-Tab-E-Tablet-SM-T560NU-16GB-WiFi-9-6-Black-New/152729366655?epid=231964052&hash=item238f61307f%3Ag%3A17gAAOSwtXdZ1NRw	$169.00	Samsung Galaxy Tab E Tablet SM-T560NU 16GB WiFi 9.6 Black New 	https://i.ebayimg.com/images/g/17gAAOSwtXdZ1NRw/s-l400.jpg	New		Samsung	16GB	SM-T560	2GB	SM-T560NZKUXAR	Quad Core	0887276113753	Wi-Fi	Tablet	Micro-USB	Android	Built-In Rear Camera	9.6in.	Not Applicable	1280 x 800		Qualcomm				5 Megapixel		2 ChannelGB		Micro-USB		Galaxy Tab E			Black	1.21lb. (0.54kg)	This Samsung Galaxy Tab E has a display size of 9.6 inches and offers a perfect balance between engrossing interaction and small-sized mobility. Offered in a deep black color, the tablet features a hard drive of 16 GB and Wi-Fi connectivity. Its processing power comes thanks to a reliable Quad Core processor, and it allows for PC interfacing using the high-speed mini-USB port.				9.6in (24.38cm)					Black	Not Applicable		Yes	Vietnam	microSD								1.20GHz					0887276113753																																																																																																																																																																																																																																																																																																						
175	http://www.ebay.com/itm/CHUWI-Hi10-Pro-Ultrabook-Tablet-PC-10-1-Win-10-Android-5-1-Quad-Core-4GB-64GB/282463323480?hash=item41c4204558%3Ag%3Add4AAOSwn-tZDY7d	$182.62	"CHUWI Hi10 Pro Ultrabook Tablet PC 10.1"" Win 10 + Android 5.1 Quad Core 4GB 64GB"	https://i.ebayimg.com/images/g/dd4AAOSwn-tZDY7d/s-l400.jpg	New		CHUWI	64GB	Hi10 Pro		Does Not Apply		Does not apply	Wi-Fi		Bluetooth, Wi-Fi			10.1in.																	Gray																								1.44GHz																																																																																																																																																																																																																																																																																																											
176	http://www.ebay.com/itm/Amazon-Fire-7-Kids-Edition-Tablet-7-Display-16-GB-Pink-Kid-Proof-Case/142530738534?epid=2142405047&hash=item212f7e7966%3Ag%3AkOsAAOSw0IJZ2FDw	$82.49	"Amazon Fire 7 Kids Edition Tablet, 7"" Display, 16 GB Pink  Kid-Proof Case"	https://i.ebayimg.com/images/g/kOsAAOSw0IJZ2FDw/s-l400.jpg	New		Amazon				Does Not Apply		Does not apply																																					Yes																																																																																																																																																																																																																																																																																																																					
177	http://www.ebay.com/itm/NEW-Samsung-Galaxy-Tab-4-SM-T530-10-1-Android-4-4-16GB-Tablet-Wi-Fi/322765688759?epid=200819319&hash=item4b26558fb7%3Ag%3A4U8AAOSwL5BZwxnc	$259.70	"NEW Samsung Galaxy Tab 4 SM-T530 10.1"" Android 4.4 16GB Tablet (Wi-Fi)"	https://i.ebayimg.com/images/g/4U8AAOSwL5BZwxnc/s-l400.jpg	New		Samsung	16GB	SM-T530N	2GB	SM-T530NZWAXAR	Quad Core	0887276967998	Wi-Fi	Tablet	Wi-Fi	Android	Bluetooth, Built-In Front Camera, Built-In Rear Camera, Color Screen, Email, Expandable Memory, FM Radio, Integrated Dictionary, LCD Display, Media Player, MP3 Player, Touch Screen, Web Browser	10.1in.	Not Applicable	1280 x 800		Samsung				3 Megapixel		2 ChannelGB		Wi-Fi	9.6in (24.38cm)	Galaxy Tab 4	6.9in (17.53cm)	0.3in (0.76cm)	White	1.07lb. (0.48kg)	This Samsung Galaxy Tab 4 10.1 features a generous 10.1-inch screen for beautiful picture display. The sleek white exterior has a very modern feel. These functional devices serve as stylish accessories as well. The built-in Wi-Fi functionality on the Samsung Galaxy Tab 4 makes it easy for you to stay connected. You can hook up to wireless networks while out and about or while home. 16GB of internal storage offers plenty of space for you to keep your favorite memories and media without compromising the Ghz performance of the tablet. The 1.2 Ghz processor also contributes to the fast production of data and images. 1.5GB of RAM lends fast responses. The Android operating system is user-friendly and offers access to thousands of apps in the Android market. The 1.2 GHz processor has a quad-core designed to keep up with you. Between this and the RAM, you will have plenty of speed to use in your activities. You can browse the Web, send text messages, access mobile media, and transfer your files between devices. This tablet is a solid performer to serve all your daily mobile needs.If you work remotely, it’s easy to check documents so that you can meet deadlines. You can use the tablet to proofread materials with the Hancom Editing Tool app before submission. You can log into online business meetings and collaborate via video chat. When you want to wind down, you can tap one of your favorite entertainment apps to watch a movie or TV show. If you prefer to unwind with a mental challenge, you can play one of the built-in games. You can also keep your children occupied with the Kids Mode interface.With this Samsung Galaxy device, you can keep in contact with friends, colleagues, and family. You can connect your phone and the tablet with the SideSync function. This allows you to expand the view of your phone’s screen. As a result, you can access numbers and letters without squinting or hitting the wrong key. When you want to send an email message, just tap the entry box. The onscreen keyboard will pop up to type your message. If enjoy input methods other than typing, the Galaxy Tab Conductive Stylus can preserve your fingers and reduce smudges. While this Samsung mobile companion provides useful specifications, it also offers a few bonuses. The SiriusXM Internet Radio app can keep you informed about sports, music, and politics. It provides a free way to listen to the radio live. The multiuser capability permits up to eight user accounts on this Galaxy. The microSD card slot can accommodate up to 64GB of memory and 50GB to store Dropbox documents. Overall, the Samsung Galaxy Tab 4 with Wi-Fi offers a large suite of features and accessories that help you stay productive while on the go. You can carry this sleek Android KitKat 4.4 device safely in a tablet case, tote bag, or briefcase. This is thanks to its small size and light weight. There are up to 10 hours of battery time on the Galaxy Tab. When the battery runs low, connect the USB cable to the port and give it the power it needs.		UP to 10hr.		10.1in (25.65cm)				Bluetooth, Built-In Front Camera, GPS, Speakerphone	White					microSD																																																																																												Korea C Type	Free Volt (100-240V)																																																																																																																																																																																																																						
178	http://www.ebay.com/itm/Lenovo-YOGA-Tab-3-Plus-ZA1N0007US-Qualcomm-1-8-GHz-3-GB-Memory-32-GB/182813893425?epid=531595813&hash=item2a908ea331%3Ag%3At%7EcAAOSwfrJZ2PwR	$249.99	New ListingLenovo YOGA Tab 3 Plus ZA1N0007US Qualcomm (1.8 GHz) 3 GB Memory 32 GB 	https://i.ebayimg.com/images/g/t~cAAOSwfrJZ2PwR/s-l400.jpg	New other (see details)	Bought and never used. Still in packaging.	Lenovo	32GB	ZA1N0007US	3GB	ZA1N0007US		190576917236		Tablet		Android 6.0.X Marshmallow		10.1in.				Qualcomm													Black																							Lenovo	1.8GHz																																																																																						10.1																																																																																																																																																																																																																					
179	http://www.ebay.com/itm/Fire-HD-8-Tablet-with-Alexa-8-HD-Display-16-GB-Black-w-Special-Offers-NEW/182670734349?epid=905996309&hash=item2a8806340d%3Ag%3AzyoAAOSwpINZatDG	$75.98	"Fire HD 8 Tablet with Alexa, 8"" HD Display, 16 GB, Black w/Special Offers @NEW@"	https://i.ebayimg.com/images/g/zyoAAOSwpINZatDG/s-l400.jpg	New		Amazon				Fire HD 8		841667123295																							Black																																																																																																																																																																																																																																																																																																																																			
180	http://www.ebay.com/itm/Amazon-Kindle-Fire-7-Fire-HD-8-Tablet-8-HD-Display-16GB-32GB-Front-Rear-Camera/322658872202?hash=item4b1ff7ab8a%3Am%3Am5iVd-SnFWFMidof-GKdjIw&var=	$65.80 to $128.00	"Amazon Kindle Fire 7 Fire HD 8 Tablet 8"" HD Display 16GB 32GB Front& Rear Camera"	https://i.ebayimg.com/images/g/t6YAAOSwA79Zml-U/s-l400.jpg	New		Amazon	8GB ~ 32GB							Tablet			Built-In Rear Camera	"7"" 8"""														Kindle Fire 7,  Kindle Fire HD 8			Black																																																																																																																																																																																																																																																																																																																																			
181	http://www.ebay.com/itm/Apple-iPad-mini-4-128GB-Wi-Fi-7-9in-Gold-NEW-SEALED-BOX/282678547196?epid=216584933&hash=item41d0f452fc%3Ag%3AixgAAOSwGYVW-mQt	$357.00	Apple iPad mini 4 128GB, Wi-Fi, 7.9in - Gold NEW SEALED BOX	https://i.ebayimg.com/00/s/NTAwWDM1OQ==/z/ixgAAOSwGYVW-mQt/$_35.JPG?set_id=89040003C1	New		Apple	128GB	Wi-Fi	2GB	MK9Q2LL/A	Dual Core	0888462369213	Wi-Fi	Tablet	Wi-Fi	iOS		9.7in.	Not Applicable	2048 x 1536		Apple	Apple A8	Retina Display	Multi-Touch	8 Megapixel	1.2 Channel Megapixel	2 ChannelGB	Bluetooth	Wi-Fi	0.24in (0.61cm)	iPad mini 4	8in (20.32cm)	5.3in (13.48cm)	Gold	0.65lb. (0.299kg)	The Apple iPad mini 4 is a useful device driven by a robust 1.1 GHz processor and running on iOS platform. The tablet is equipped with 128 GB memory storage. It also features a convenient 9.7-inch display that provides clear visuals. This Apple tablet supports Wi-Fi connectivity and lets its users wirelessly surf the Web, check e-mails, or stream videos. Furthermore, the Apple device has a built-in camera. Its weight is 0.67 lbs. The product is available in gold.	Rechargeable Lithium-Polymer	UP to 10hr.	Camera, Touch-Screen	7.9in (20.07cm)	Mac, PC	9/9/2015	.ics, DOC, DOCX, GIF, HTM, HTML, JPG, Numbers, PDF, PPT, PPTX, Pages, RTF, TIFF, TXT, VCF, XLS, XLSX, ZIP	Antireflective coating, Built-In Front Camera, Fingerprint Sensor, HD Compatible, Retina Display, Touch Screen	Gold													1.5GHz																																																																																																																																																																																																																																																																																																											
182	http://www.ebay.com/itm/10-1-inch-Tablet-PC-Octa-Core-IPS-Bluetooth-4GB-64GB-Phablet-SIM-3G-Phone-Call/172502434363?epid=527234819&hash=item2829f2423b%3Am%3AmG3u--y1RaOcO6cYpuPmhxQ&var=	$109.99	10.1 inch Tablet PC Octa Core IPS Bluetooth 4GB /64GB Phablet SIM 3G Phone Call 	https://i.ebayimg.com/images/g/6iQAAOSwopRYirjE/s-l400.jpg	New		kingstar				B012RL6IL4																																																																																																																																																																																																																																																																																																																																																												
183	http://www.ebay.com/itm/All-New-Fire-HD-8-Tablet-8-HD-Wi-Fi-16-GB-Includes-Special-Offers-Tangerine/132155458330?epid=1684524441&hash=item1ec514431a%3Ag%3AfbAAAOSwTM5Y6-MF	$70.00	"All-New Fire HD 8 Tablet, 8"" HD  Wi-Fi 16 GB Includes Special Offers, Tangerine"	https://i.ebayimg.com/images/g/fbAAAOSwTM5Y6-MF/s-l400.jpg	New		Amazon				B018T075DC		841667103068																							Tangerine																																																																																																																																																																																																																																																																																																																																			
184	http://www.ebay.com/itm/3x-Camera-Lens-Kit-For-iPhone-4-4S-iPad-Fish-Eye-Lens-Wide-Angle-Micro-Lens-BT/281709539822?epid=1069503509&hash=item41973271ee%3Ag%3A4KkAAOSwnH1WXQFW	$2.64	3x Camera Lens Kit For iPhone 4 4S iPad Fish Eye Lens Wide Angle + Micro Lens BT	https://i.ebayimg.com/images/g/4KkAAOSwnH1WXQFW/s-l400.jpg	New		Unbranded				Does not apply		6902697977389																																																				6902697977389																																																		Does not apply																																Unbranded																																																																																																																																																																																																																				
185	http://www.ebay.com/itm/Motorola-DROID-XYBOARD-10-1-MZ617-Replica-Dummy-Tablet-Toy-Tablet-Black-Bul/282324098033?hash=item41bbd3dbf1%3Ag%3A%7EYYAAOSwynRZyOkH	$10.04	Motorola DROID XYBOARD 10.1 MZ617 Replica Dummy Tablet / Toy Tablet (Black) (Bul	https://i.ebayimg.com/images/g/~YYAAOSwynRZyOkH/s-l400.jpg	New		Motorola				MOTMZ617MOCK		723755000643																																																																																																																																																																																																																																																																																																																																																										
186	http://www.ebay.com/itm/Digital2-16GB-8-WiFi-Tablet-Octa-Core-1-7GHz-Android-4-4-w-Dual-Cameras-Black/361849229432?epid=1148497500&hash=item543fe51078%3Ag%3A-PUAAOSw5cNYSb3J	$69.99	"Digital2 16GB 8"" WiFi Tablet Octa Core 1.7GHz Android 4.4 w/Dual Cameras - Black"	https://i.ebayimg.com/images/g/-PUAAOSw5cNYSb3J/s-l400.jpg	New		Digital2	16GB	D2-863G_BK	1GB	D2-863G-BK		811709021285								1280 x 800															Black																																																																																																																"8"""																																																																																																																																																																																																																			
