,ItemLink,Price,Name,Image,Condition,Brand,Features,MPN,Processor Speed,Product Line,Resolution,Screen Size,Processor,Storage Capacity,RAM,Color,Type,Internet Connectivity,Exterior Color,UPC,Seller Notes,Processor Manufacturer,Hardware Connectivity,Rear Camera Resolution,Installed RAM,Expandability,Carrier,Expansion Ports,PC Interface,Height,Width,Depth,Weight,Battery Run Time,Product Information,Special Features,Model,Display Size,Operating System,Platform,Input Method,Bundle Listing,Contract,Display Tech,Touch Screen Technology,Front Camera Resolution,Wireless capabilities,Audio Input,Audio Output,Battery Technology,Supported File Types,Release Date,Processor Type,Max. Video Resolution,Networking Type,Country/Region of Manufacture,Bundled Items,Max Supported RAM,Interface,Hard Drive Capacity,Data Link Protocol,Plug,Plug Adaptor,EAN,Graphic Processor,RAM Technology,Cosmetic condition,Connectivity,test,Custom3,ROM,Number of Cores,Max Resolution,PID,Manufacturer,Resolution (pixels),No accessories,Memory,Size,ISBN,Colour,Display Color Support,Storage Controller Type,Installed Cache Memory,Installed Video Memory,Original box,Charger and cable,Compatible Model,Compatible Brand,ScreenSize,Model Number,Included,Headphones,Item shape,Alexa Enabled,Camera,Battery Life,Material,Manufacturer Part Number,Processor Number,Graphics
474,http://www.ebay.com/itm/ICRAIG-8-95-inch-High-Definition-Tablet-With-Windows-8-1-Bluetooth-16GB/152571132645?hash=item2385f2bae5%3Ag%3AlywAAOSwfRdZMeqp,$89.99,"ICRAIG 8.95"" inch High Definition Tablet With Windows 8.1 Bluetooth 16GB ",https://i.ebayimg.com/images/g/lywAAOSwfRdZMeqp/s-l300.jpg,New other (see details),ICRAIG,"Bluetooth, Built-In Front Camera",icraig,Quad Core,,,,,16 GB,,,,Wi-Fi,,Does not apply,Tablet is administration locked and must be taken off before using. Please read description. Ripped Box,,,,,,,,,,,,,,,,,,Windows 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,http://www.ebay.com/itm/Tagital-T7X-7-Quad-Core-Android-4-4-KitKat-Tablet-PC-Bluetooth-Dual-Camera/152573215230?epid=0&hash=item23861281fe%3Ag%3AvusAAOSwurZZNF6z,$40.00,"Tagital T7X 7"" Quad Core Android 4.4 KitKat Tablet PC, Bluetooth, Dual Camera",https://i.ebayimg.com/images/g/vusAAOSwurZZNF6z/s-l300.jpg,Used,Tagital,Bluetooth,T7X,,,,"7""",Quad Core,,,Black,Tablet,,,,"This is in open Box....fully functional....tested .....ready to play!!!!!!Display Model....not preowned....not registered... manuals and  accessories included...Has wear associated with consumers....What's in the box: 1. Tagital T7X, ac adapter, manual",,Bluetooth,,,,,Bluetooth,,,,,,,,Bluetooth,,,Android,PC,Camera,,,,,,Bluetooth,,,,,,Dual Core,,Bluetooth,,,,Camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,http://www.ebay.com/itm/Archos-16GB-101-XS-10-1-Gen10-Android-Tablet-White/152575836349?hash=item23863a80bd%3Ag%3AqdoAAOSw-K9ZNwLE,$129.00,"Archos 16GB 101 XS 10.1"" Gen10 Android Tablet, White",https://i.ebayimg.com/images/g/qdoAAOSw-K9ZNwLE/s-l300.jpg,New,Archos,,502126,,,,"10.1""",,16GB,,White,Tablet,,,690590521261,,,,,,,,,,,,,,,,,,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,http://www.ebay.com/itm/Apple-iPad-Pro-9-7-32GB-Space-Gray-WiFi-Cellular-for-Sprint-MLTA2LL-A/152559078013?hash=item23853aca7d%3Ag%3AWecAAOSwtGlZJNC2,$380.00,Apple iPad Pro 9.7 32GB Space Gray WiFi + Cellular for Sprint MLTA2LL/A,https://i.ebayimg.com/images/g/WecAAOSwtGlZJNC2/s-l300.jpg,Used,Apple,,MLTA2LL/A,,iPad Pro,,"9.7""",,32GB,,,,Wi-Fi + Cellular,Space Gray,,,,,,,,Sprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,http://www.ebay.com/itm/Lenovo-Yoga-Tab-3-10-1-YT3-X50F-manufactured-in-2016/152562537858?hash=item23856f9582%3Ag%3AF08AAOSw8lpZKOy%7E,$129.00,"Lenovo Yoga Tab 3 10.1"" YT3-X50F manufactured in 2016",https://i.ebayimg.com/images/g/F08AAOSw8lpZKOy~/s-l300.jpg,Used,Lenovo,,,,,,"10.1""",,16GB,,Black,Tablet,Wi-Fi,,,,,,,,,Not Applicable,,,,,,,,,,,,Android 6.0.X Marshmallow,,,,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,http://www.ebay.com/itm/Sprout-Channel-Cubby-7-Tablet-16GB/152564922722?epid=1734501175&hash=item238593f962%3Ag%3A-ykAAOSwDiBZK72l,$76.99,"Sprout Channel Cubby 7"" Tablet 16GB",https://i.ebayimg.com/images/g/-ykAAOSwDiBZK72l/s-l300.jpg,New,,,,,,,,,,,,,,,817707015646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,http://www.ebay.com/itm/BARNS-NOBLE-NOOK-1st-EDITION-2GB-NEW-BATTERY-PLUS-CASE-BUNDLE-EX-CONDITION/152565060056?hash=item23859611d8%3Ag%3A50AAAOSwIQdZK-fF,$45.00,"BARNS & NOBLE NOOK 1st EDITION, 2GB NEW BATTERY PLUS CASE BUNDLE EX CONDITION?",https://i.ebayimg.com/images/g/50AAAOSwIQdZK-fF/s-l300.jpg,Used,Barnes & Noble,,Does Not Apply,,nook,,,,2GB,2GB,,,,,,excellent condition functions perfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,http://www.ebay.com/itm/Trio-Stealth-7-HD-Quad-Core-Stealth-GI-Wi-Fi-Bluetooth-Tablet-8GB-Black/152565819334?epid=1262031285&hash=item2385a1a7c6%3Ag%3ANicAAOSwfpVZLIO5,$44.99,"Trio Stealth 7"" HD Quad Core Stealth GI Wi-Fi Bluetooth Tablet 8GB Black",https://i.ebayimg.com/images/g/NicAAOSwfpVZLIO5/s-l300.jpg,Used,Trio,"Bluetooth, Built-In Front Camera, Color Screen, Expandable Memory, Touch Screen, Web Browser",gi7,1.50GHz,Stealth GI,1024 x 600,"7""",Quad Core,8GB,512MB,Black,Tablet,Wi-Fi,,852003006424,Some scratches on screen but works great. Only includes charger & tablet.,,,,,,Not Applicable,,,,,,,,,,,,,,,,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,http://www.ebay.com/itm/Apple-iPad-Air-1st-Generation-16GB-Wi-Fi-9-7in-Space-Gray/152567375082?epid=1952566713&hash=item2385b964ea%3Ag%3Afj4AAOSwjL5ZLi1Q,$300.00,"Apple iPad Air 1st Generation 16GB, Wi-Fi, 9.7in - Space Gray",https://i.ebayimg.com/images/g/fj4AAOSwjL5ZLi1Q/s-l300.jpg,Used,Apple,"Backlight, Bluetooth, Built-In Front Camera, Built-In Rear Camera, Color Screen, Email",MD785CL/B,1.4GHz,iPad Air 1st Generation,2048 x 1536,9.7in.,Dual Core,16GB,1GB,Gray,Tablet,Wi-Fi,,885909772148,"Ipad is in great condition, rarely used. screen and body only normal wear scratches, minimal.",,"USB, Wi-Fi",,,,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,Case/Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,http://www.ebay.com/itm/New-Amazon-Kindle-Fire-7-inch-IPS-8-GB-Black-w-Front-Rear-Camera-Latest-Model/152570403908?epid=218535760&hash=item2385e79c44%3Ag%3Apo8AAOSwfRdZMS3l,$63.99,New Amazon Kindle Fire 7 inch IPS 8 GB Black w/ Front & Rear Camera Latest Model,https://i.ebayimg.com/images/g/po8AAOSwfRdZMS3l/s-l300.jpg,New,Amazon,,53-003682,,Fire,1024 x 600,7in.,Quad Core,8GB,1GB,Black,Tablet,Wi-Fi,Black,0848719062854,,ARM,"Micro-USB, Wi-Fi",2 Channel Megapixel,1GB,microSD Slot,Not Applicable,,"Micro-USB, Wi-Fi",7.5in (19.05cm),4.5in (11.43cm),0.4in (1.02cm),0.69lb. (0.31kg),UP to 7hr.,"The Amazon Fire Tablet is a useful device driven by a robust 1.3 GHz processor running on the Fire OS. This tablet is equipped with 8 GB of memory storage. It also features a convenient 7-inch display that provides clear visuals. This Amazon tablet supports Wi-Fi connectivity that enables users to wirelessly access the Internet, check e-mails, or stream videos. This tablet runs on the Fire OS and is available in black.","Bluetooth, Built-In Front Camera, Built-In Rear Camera, HD",(5th Generation),7in (17.78cm),Fire OS,,,,,IPS,Multi-Touch,,,,,,,,,,Integrated Wireless LAN,United States,,,,,,,,0848719062854,,,,Single band Wi-Fi,,,,,,,Amazon,,,,,Does not apply,,,,,,,,,,,,,,,Yes,VGA Front-facing camera + 2 MP rear-facing camera with 720p HD vi,up to 7 hours mixed use,,,,
484,http://www.ebay.com/itm/Pandigital-Model-PD-Novel-PRD07T20WBL7-7-Color-eReader-with-Case-Charger/152570435863?hash=item2385e81917%3Ag%3AElMAAOSwhQhY2sTx,$23.00,"Pandigital Model PD Novel PRD07T20WBL7 7"" Color eReader  with Case & Charger",https://i.ebayimg.com/images/g/ElMAAOSwhQhY2sTx/s-l300.jpg,Used,,,,,,,,,,,,,,,,Great condition. Screen protector has a few small nicks. Screen itself has none to my knowledge. Screen protector has always been on. Cover appears to be in great shape.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case/Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,http://www.ebay.com/itm/Trio-Tablet-7-85-8GB-Android-HD-Touch-Screen-WiFi-Quad-Core-Google/152571124714?hash=item2385f29bea%3Ag%3Akx0AAOSw42JZMemb,$89.99,"Trio Tablet 7.85"" 8GB Android HD Touch Screen WiFi Quad Core Google",https://i.ebayimg.com/images/g/kx0AAOSw42JZMemb/s-l300.jpg,New other (see details),Trio,"Bluetooth, Built-In Front Camera, Built-In Rear Camera, Color Screen, Expandable Memory, Integrated Speakers, Touch Screen",Trio 7.85,1.5GH,,,"7.85""",Quad Core,8GB,,Black,Tablet,Wi-Fi,,Does not apply,Opened Box. Only Includes charger. Has one scratch on the side from taking off the clear cover to insure 100% new,,USB,,,,,,,,,,,,,,,,Android 4.4 KitKat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,http://www.ebay.com/itm/ICRAIG-8-95-inch-High-Definition-Tablet-With-Windows-8-1-Bluetooth-16GB/152571132645?hash=item2385f2bae5%3Ag%3AlywAAOSwfRdZMeqp,$89.99,"ICRAIG 8.95"" inch High Definition Tablet With Windows 8.1 Bluetooth 16GB ",https://i.ebayimg.com/images/g/lywAAOSwfRdZMeqp/s-l300.jpg,New other (see details),ICRAIG,"Bluetooth, Built-In Front Camera",icraig,Quad Core,,,,,16 GB,,,,Wi-Fi,,Does not apply,Tablet is administration locked and must be taken off before using. Please read description. Ripped Box,,,,,,,,,,,,,,,,,,Windows 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,http://www.ebay.com/itm/Tagital-T7X-7-Quad-Core-Android-4-4-KitKat-Tablet-PC-Bluetooth-Dual-Camera/152573215230?epid=0&hash=item23861281fe%3Ag%3AvusAAOSwurZZNF6z,$40.00,"Tagital T7X 7"" Quad Core Android 4.4 KitKat Tablet PC, Bluetooth, Dual Camera",https://i.ebayimg.com/images/g/vusAAOSwurZZNF6z/s-l300.jpg,Used,Tagital,Bluetooth,T7X,,,,"7""",Quad Core,,,Black,Tablet,,,,"This is in open Box....fully functional....tested .....ready to play!!!!!!Display Model....not preowned....not registered... manuals and  accessories included...Has wear associated with consumers....What's in the box: 1. Tagital T7X, ac adapter, manual",,Bluetooth,,,,,Bluetooth,,,,,,,,Bluetooth,,,Android,PC,Camera,,,,,,Bluetooth,,,,,,Dual Core,,Bluetooth,,,,Camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,http://www.ebay.com/itm/Microsoft-Surface-Windows-8-1RT-Model-1516-32GB-Tablet/152579819574?epid=219435211&hash=item2386774836%3Ag%3AmI4AAOSwyrFZOuwR,$119.99,Microsoft Surface Windows 8.1RT  Model 1516 32GB Tablet ,https://i.ebayimg.com/images/g/mI4AAOSwyrFZOuwR/s-l300.jpg,Used,Microsoft,,1516,,surface rt,,,,32GB,,Black,Tablet,Wi-Fi,Black,0885370447705,"Included Tablet , Power Supply, Minuscule scratches on the screen, Slight scratches on the back cover.",,,,,,Not Applicable,,,,,,,,,,,,Windows RT,,,,,,,,,,,,,,,,,,,,,,,,,0885370447705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,http://www.ebay.com/itm/White-Kindle-D00901-Wi-Fi-3G-keyboard-w-leather-case-charger-Books/152581224203?epid=1800296749&hash=item23868cb70b%3Ag%3AnCEAAOSw6YtZPJXj,$85.00,White Kindle D00901 Wi-Fi + 3G keyboard w/ leather case+charger+Books,https://i.ebayimg.com/images/g/nCEAAOSw6YtZPJXj/s-l300.jpg,Used,Amazon,,D00901,532MHz,Kindle,800 x 600,6in.,,4GB,,Black,eBook Reader,Wi-Fi + 3G,,814916010202,New battery !Sony charge.charger line shows stains .,,"Wi-Fi, Micro-USB",,,,Unlocked,,,,,,,,,,,,Kindle 3.4.2,,,,Not Applicable,,,,,,,,,,,,,,Case/Cover,,,,,,,,,,Excellent,,,,,,,,,,,,,,,,,,,,Charger & short cable,,,,,,,,,,,,,,
490,http://www.ebay.com/itm/LG-GPad-X-10-1-GSM-UNLOCKED-AT-T-CRICKET-TMOBILE-NO-CONTRACT/152584467697?epid=809541067&hash=item2386be34f1%3Ag%3A85gAAOSwOMdZQBZI,$142.99,LG GPad X 10.1 GSM UNLOCKED AT&T CRICKET TMOBILE  NO CONTRACT,https://i.ebayimg.com/images/g/85gAAOSwOMdZQBZI/s-l300.jpg,Used,LG,,V930,,,,,,,,,,,,Does not apply,Gently used in great condition. No cracks or chips.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,http://www.ebay.com/itm/Sungale-ID710WTA-with-WiFi-7-Touchscreen-Tablet-PC-Featuring-Android-Operating/152585713689?hash=item2386d13819%3Ag%3AO4QAAOSw%7EXpZQWoM,$31.49,"Sungale ID710WTA with WiFi 7"" Touchscreen Tablet PC Featuring Android Operating ",https://i.ebayimg.com/images/g/O4QAAOSw~XpZQWoM/s-l300.jpg,Used,asb1,,ID702WTA,,TABLET,,7,,,,Black,eBook Reader/tablet,,,Does not apply,"good condition, already factory reset",,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,http://www.ebay.com/itm/Asus-Transformer-Pad-K010-Tablet-Keyboard-Broken-Screen-Working/152586064727?hash=item2386d69357%3Ag%3AyhsAAOSwjRpZQcFL,$59.99,Asus Transformer Pad K010 Tablet & Keyboard Broken Screen Working,https://i.ebayimg.com/images/g/yhsAAOSwjRpZQcFL/s-l300.jpg,For parts or not working,ASUS,,,,,,10.1in.,,16GB,,Black,Tablet/Laptop Convertible,Wi-Fi,,,WORKS but the screen is cracked!,,,,,,,,,,,,,,,,,,Android 4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,http://www.ebay.com/itm/JKY-JCB-899-8-95-Inch-32GB-Tablet-PC-with-Magnetic-Connection-Keyboard-Black/152587234910?hash=item2386e86e5e%3Ag%3AAtMAAOSwIjJZQuZD,$55.75,JKY JCB 899 8.95-Inch 32GB Tablet PC with Magnetic Connection Keyboard (Black),https://i.ebayimg.com/images/g/AtMAAOSwIjJZQuZD/s-l300.jpg,For parts or not working,JKY,,cabu1,,,,,,,,,,,,Does not apply,"will not power on, selling as is",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
